#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" useAmbiguities="true">
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	yule.birthrate	tree.height	tree.treeLength
56000	-2486.5437989198217	0.06510130870852165	5.618716815454929	0.2882744236910076	4.490771090809948
58000	-2479.241974524201	0.059325402518310144	6.585802122066482	0.40900615361192916	4.993548442120602
60000	-2484.0941923186224	0.06045829011482427	6.698342602034942	0.40514350554222833	4.96872084023401
62000	-2493.2591607199765	0.061552677521726606	8.201048068447344	0.3713852035848111	4.877019187043864
64000	-2491.5364999534627	0.059615046340812994	6.675613112481008	0.38276598809472456	4.923530524703307
66000	-2488.201299604522	0.07450555144024773	5.631939081013432	0.40964219549308856	4.945675918780406
68000	-2488.334871146759	0.06083002639191279	6.849829695427454	0.5762114630404594	5.582018718269664
70000	-2486.6159084147753	0.057437480398210394	7.219030884971057	0.5176552105665153	5.702928605474555
72000	-2480.859348648497	0.06801223991456529	7.273646122780423	0.533731327600221	5.223049930945089
74000	-2478.0223695914347	0.06025051621350196	5.54617763589959	0.5500131885882643	5.435127060609308
76000	-2483.8135183231984	0.06367895352510713	5.54327386742868	0.48874992835233383	4.929865807088394
78000	-2484.081382844488	0.06378638516403731	7.511520106080781	0.2803469718139558	4.012340797898026
80000	-2478.5527255969396	0.06465532562084868	7.356773827471479	0.5135121898059894	5.335372277302941
82000	-2480.0106864375994	0.06317058256885451	7.387904192468231	0.3528284164449254	4.59231435724098
84000	-2490.092655505423	0.061052760932896924	6.530591636557527	0.36006068693245147	4.633767885241751
86000	-2479.714991398533	0.06085326437537541	4.952136138506059	0.326619684232079	4.414573888958892
88000	-2477.068673483174	0.06478713656355091	5.247171505343039	0.3546663615944572	4.573189405408074
90000	-2486.559714953505	0.062198232612246475	5.709497445759493	0.602622811241058	5.355853248299543
92000	-2481.1482393684487	0.061289825797985455	6.182754082997957	0.3263211404794487	4.715526357199554
94000	-2478.4302086886028	0.07064680130452396	8.223886746128708	0.2794928498035253	4.040606060822188
96000	-2486.54271344214	0.06120565344558503	7.180233509767558	0.36956232012263424	4.587998346014003
98000	-2477.7468283606295	0.0668563357792322	6.311643707130045	0.3169165375501898	4.268218542869608
100000	-2476.680696181265	0.05977830571380438	7.401326568032502	0.32391118182654693	4.3312599940338385
102000	-2483.0386003880503	0.06695323754124895	6.712296400522801	0.5365631795110227	5.375625762321865
104000	-2485.332269233191	0.06188029570980686	5.979165702883306	0.4295226985179902	4.691376970707662
106000	-2488.1271551829836	0.06517707582597781	6.881679725732046	0.5608160105297195	5.3745705003587965
108000	-2484.0936827110636	0.06514730187328215	5.058675939772672	0.5110693920530368	5.199503269486131
110000	-2479.415552227763	0.060455809322208606	6.874872017938062	0.43807552644281855	4.652837935451181
